박훈SCIENCEON대진대학교 전자공학과
최요순SCIENCEON부경대학교 환경해양대학 에너지자원공학과
오진석SCIENCEON한국해양대학교 기관공학과
온형민SCIENCEON조선대학교 보건과학대학 작업치료학과
서자호SCIENCEONDepartment of Biosystems Machinery Engineering, Chungnam National University
박진현SCIENCEON경남과학기술대학교
양성모SCIENCEON전북대학교 기계시스템공학부
김헌우SCIENCEON브이지엠
조성익SCIENCEON서울과학기술대학교 산업대학원 자동차공학과
이정해SCIENCEON홍익대학교 전자정보통신공학과
정정주SCIENCEON한양대학교 전기생체공학부
황성호SCIENCEONDepartment of Mechanical Engineering, Sungkyunkwan University
우관제SCIENCEON현대로템(주) 기술연구소
지민석SCIENCEON한서대학교 항공시스템공학과
허기봉SCIENCEONAgency for Defense Development
주상현SCIENCEON국방과학연구소 제5기술연구본부
송봉섭SCIENCEON아주대학교 기계공학과
최병웅SCIENCEONNaval System R&D Center, Hanwha Systems
최창현SCIENCEONDepartment of Bio-Mechatronic Engineering, Sungkyunkwan University
양태규SCIENCEON목원대학교 지능로봇공학과
박진현SCIENCEONDept. of Mechatronics Engineering, Gyeognam Nat. Univ. of Science and Technology
송영은SCIENCEON호서대학교 전기공학과
김영주SCIENCEON한국생산기술연구원 융복합농기계그룹
이경수SCIENCEON서울대학교 기계항공공학부
이경수SCIENCEONSchool of Mechanical and Aerospace Engineering, Seoul National University
오광석SCIENCEON호남대학교
이명천SCIENCEON국방과학연구소
유영재SCIENCEON목포대학교 제어로봇공학과
박장현SCIENCEON한양대학교 미래자동차공학과
고윤석SCIENCEON남서울대학교 전자공학과
김정근SCIENCEON광운대학교 전자공학과
박태원SCIENCEON아주대학교 기계공학과
최경희SCIENCEON아주대학교 정보컴퓨터공학부
김정훈SCIENCEON동양물산기업 중앙연구소
한상휘SCIENCEON(주)만도 Global R&D Center
차현록SCIENCEONAutomotive Components Research Group, Honam Regional Division, Korea Institute of Industrial Technology
유준SCIENCEON충남대학교 전자공학과
김상훈SCIENCEON한경대학교 전기전자제어공학과
한문수SCIENCEON인하대학교
김학진SCIENCEON서울대학교 바이오시스템 소재학부
도태용SCIENCEON한밭대학교 전자.제어공학과
이대옥SCIENCEON국방과학연구소
김우일SCIENCEON서울과학기술대학교 기계.자동차공학과
이선봉SCIENCEON계명대학교 기계자동차공학과
정슬SCIENCEON충남대학교 메카트로닉스공학과
Chung, Chung ChooSCIENCEON한양대학교 전기생체공학부
이정해SCIENCEON홍익대학교 전자전기공학과
여화수SCIENCEON한국과학기술원 건설 및 환경공학과
윤영중SCIENCEON연세대학교 전기전자공학부
손영선SCIENCEON동명대학교 전자공학과
전종훈SCIENCEON알에프코어 주식회사
고봉철SCIENCEONIntelligent Vehicle Safety System Development Team, Hyundai Motor Company
박준혁SCIENCEON한국철도기술연구원 고속철도연구본부
정초영SCIENCEON군산대학교 해양산업운송과학기술학부
신범수SCIENCEON강원대학교 바이오시스템공학과
Chung, Chung-ChooSCIENCEON한양대 공대 전기생체공학부
여승태SCIENCEON국방과학연구소
이석규SCIENCEON영남대학교 전기공학과
박경택SCIENCEON한국기계연구원
강창근SCIENCEON한화시스템(주) 지상시스템팀
최규하SCIENCEON건국대 전기공학과 전력전자연구실
유병길SCIENCEONCommunication-CW Team, Hanwha Systems
김재관SCIENCEON한화시스템(주) 지상시스템팀
김형수SCIENCEON한국건설기술연구원 도로연구소
손영대SCIENCEON동서대학교
장경영SCIENCEON한양대학교 기계공학과
이인묵SCIENCEON한국철도기술연구원
한창수SCIENCEON한양대학교 기계공학과
이설희SCIENCEON한국생산기술연구원 융합생산기술연구소 휴먼문화융합그룹
최요순KCI부경대학교
양태규KCI목원대학교
박진현KCI경남과학기술대학교
이해영KCI아주대학교
이설희KCI한국생산기술연구원
이대옥KCI국방과학연구소
온형민KCI조선대학교 보건과학대학 작업치료학과
황성호KCI성균관대학교
이재곤KCI경남대학교
김세광KCI서정대학교
오광석KCI호남대학교
김태형KCI경상대학교
안창선KCI부산대학교
조성익KCI서울과학기술대학교
여화수KCI한국과학기술원
고윤석KCI남서울대학교
주상현KCI국방과학연구소
임성진KCI서울과학기술대학교
이인수KCI경북대학교
류희석KCI국립농업과학원
강연식KCI국민대학교
김효준KCI강원대학교
박건우KCI(주)하다
유병길KCI한화시스템(주)
서자호KCI충남대학교
허건수KCI한양대학교
허기봉KCI국방과학연구소(대전)
이세한KCI경남대학교
정정주KCI한양대학교
박태원KCI아주대학교
천종훈KCI알에프코어 주식회사
이정해KCI홍익대학교
김재관KCI한화시스템(주) 지상시스템팀
최창현KCI성균관대학교
김강희KCI숭실대학교
정진우KCI전남대학교
송영은KCI호서대학교
김형수KCI한국건설기술연구원
이선호KCI한국항공우주연구원
장혁준KCI국민대학교
이명천KCI국방과학연구소
장래규KCI(주)아이엠티
강문식KCI강릉원주대학교
이경수KCI서울대학교
박지흔KCI박지흔 법률사무소
김영렬KCI(주)진우에스엠씨 EV개발센터
유승한KCI한국기술교육대학교
김우일KCI서울과학기술대학교
홍순중KCI농촌진흥청
전종훈KCI알에프코어 주식회사
이중기KCI홍익대학교
오진석KCI한국해양대학교
김종성KCI경성대학교
황상우KCI현대자동차
정진곤KCI중앙대학교
한경석KCI경북대학교
손영선KCI동명대학교
김해지KCI경남과학기술대학교
양성모KCI전북대학교
윤영중KCI연세대학교
오광석KCI한경대학교
박종오KCI동아대학교
김정근KCI광운대학교
최병웅KCI한화시스템
여승태KCI국방과학연구소
이재관KCI자동차부품연구원
오세찬KCI한경대학교
이지민KCI아주대학교
정초영KCI군산대학교
최경희KCI아주대학교
박경민KCI전북자동차기술원
송정훈KCI동명대학교
박세준KCI목원대학교
임대영KCI한국생산기술연구원 한국생산기술연구원 EV부품소재그룹
이인묵KCI한국철도기술연구원
이재찬KCI서울교통공사
주태환KCI국방과학연구소
손영섭KCI만도
박영진KCI한국과학기술원
우관제KCI현대로템 기술연구소
임영석KCI전남대학교
장봉춘KCI안동대학교
김두형KCI한국기계연구원
방병주KCIShinheung Industry Company Korea
곽기성KCI성균관대학교
이선봉KCI계명대학교
강창근KCI한화시스템(주) 지상시스템팀
차현록KCI한국생산기술연구원
김병규NTIS한국항공대학교
유영재NTIS국립목포대학교 산학협력단
김종식NTIS부산대학교산학협력단
김종배NTIS세종사이버대학교
최정현NTIS대구경북과학기술원
김나현NTIS한양대학교
방성일NTIS단국대학교산학협력단
이경수NTIS서울대학교
박종오NTIS전남대학교산학협력단
이지홍NTIS충남대학교
문경환NTIS고려대학교산학협력단
이승희NTIS한양대학교
정은수NTIS한양대학교
이순걸NTIS경희대학교산학협력단
민병권NTIS연세대학교산학협력단
황창모NTIS서울아산병원
송정훈NTIS동명대학교
김정훈NTIS홍익대학교 산학협력단
박권하NTIS한국해양대학교 산학협력단
박성군NTIS서울과학기술대학교
신동호NTIS한국기술교육대학교
유종원NTIS한국과학기술원
손정현NTIS부경대학교
정현진NTIS한양대학교
이상필NTIS동의대학교산학협력단
고성영NTIS전남대학교
탁진필NTIS한양대학교
장봉춘NTIS안동대학교
최현NTIS경남대학교산학협력단
황중기NTIS동명대학교
서승우NTIS서울대학교
김용주NTIS충남대학교산학협력단
윤상원NTIS한양대학교
성혁기NTIS홍익대학교
김희석NTIS청주대학교산학협력단
방영봉NTIS서울대학교병원
김회율NTIS한양대학교산학협력단
허건수NTIS한양대학교산학협력단
정석훈NTIS전주비전대학산학협력단
최재순NTIS울산대학교산학협력단
권인소NTIS한국과학기술원
황성호NTIS성균관대학교산학협력단
남해운NTIS한양대학교 에리카산학협력단
황헌NTIS성균관대학교(자연과학캠퍼스)
김종우NTIS서울대학교
이재영NTIS포항공과대학교
김형준NTIS중앙대학교
서준범NTIS서울아산병원
이승호NTIS경기과학기술대학교 산학협력단
강연식NTIS국민대학교
권상주NTIS한국항공대학교
이상문NTIS경북대학교
한창수NTIS한양대학교 에리카 산학협력단
한창수NTIS한양대학교 에리카 산학협력단
강동우NTIS계명대학교
최승복NTIS인하대학교
김세훈NTIS에스티엠(주)
박원엽NTIS한경대학교 산학협력단
최재훈NTIS한양대학교
유창호NTIS전북대학교
장건희NTIS한양대학교산학협력단
이범선NTIS경희대학교 산학협력단
이재곤NTIS경남대학교
박관규NTIS한양대학교
김동호NTIS세종대학교
오정석NTIS서울대학교
오종석NTIS공주대학교(천안공과대학)
강대수NTIS공주대학교
정용식NTIS광운대학교
이영철NTIS목포해양대학교
김홍준NTIS경북대학교
이상식NTIS관동대학교산학협력단
강태구NTIS상명대학교(천안캠퍼스)
이용식NTIS연세대학교
이중석NTIS충남대학교
박윤식NTIS한국과학기술원
여화수NTIS한국과학기술원
송경준NTIS부산대학교
