강건구,DBPIA,
강경란,DBPIA,아주대학교 소프트웨어학과
강경우,SCIENCEON,백석대학교 정보통신학부
강경인,DBPIA,Korea University School of Civil; Environmental and Architectural Engineering
강경태,NTIS,한양대학교 에리카산학협력단
강길선,DBPIA,Chonbuk National University Department of Polymer Nano Science &Technology and Polymer Materials Fusion Research Center
강남희,KCI,덕성여자대학교
강남희,DBPIA,덕성여자대학교 디지털미디어학과
강내영,DBPIA,경성대 연극영화학부
강달원,DBPIA,한국해양대학교
강대건,DBPIA,탈리스테크
강대준,DBPIA,자동차부품연구원
강동석,DBPIA,한국정보화진흥원
강동욱,DBPIA,한국복지대학교 사회복지학과
강동재,DBPIA,한국전자통신연구원 클라우드컴퓨팅연구그룹
강만규,DBPIA,한양대학교
강명효,DBPIA,로그인 회원이 가져갈 수 있는 혜택들을 확인하고 이용하세요. <논문을 쓰기 전에 당신이 알아야 할 10가지> 강의 영상을 무료로 보실 수 있어요.
강문수,DBPIA,
강민구,SCIENCEON,한신대학교 IT콘텐츠학과
강민구,KCI,한신대학교
강민정,DBPIA,한국형사정책연구원
강민지,DBPIA,과학기술정책연구원
강범구,NTIS,숭실대학교
강병준,DBPIA,대덕대학교 여수화력발전처 전기팀
강봉주,KCI,부산대학교
강봉주,DBPIA,부산대학교 경제통상대학원
강부성,DBPIA,서울과학기술대학교 건축학부
강부중,DBPIA,한양대학교
강사준,DBPIA,한국조선해양플랜트협회
강상구,DBPIA,공간정보연구원 국토정보연구실
강상욱,DBPIA,상명대학교 화학과
강석근,DBPIA,경상대학교 공과대학 반도체공학과 및 대학원 전기전자공학과
강석훈,DBPIA,강원의전원 의학교육학교실
강선일,DBPIA,Korea Aerospace Research Institute 발사대팀
강선준,DBPIA,한국과학기술연구원
강성권,DBPIA,부산발전연구원
강성식,DBPIA,서울대학교
강성원,SCIENCEON,한국과학기술원 전산학부
강수돌,DBPIA,고려대학교 경영학부
강수정,DBPIA,성균관대학교 성균중국연구소
강수진,DBPIA,전북대학교 사회복지학과
강순주,NTIS,경북대학교
강식,DBPIA,경기연구원 북부연구센터
강신각,DBPIA,한국전자통신연구원 오픈소스센터
강신성,DBPIA,모인비스 연구소
강신천,DBPIA,공주대학교 컴퓨터교육과
강연수,DBPIA,한국교통연구원
강연수,DBPIA,한국교통연구원
강영기,KCI,단국대학교
강영기,DBPIA,고려대학교 법학전문대학원
강영명,DBPIA,삼성전자
강영종,DBPIA,한양대학교
강용혁,KCI,극동대학교
강용혁,DBPIA,한국융합학회
강우예,DBPIA,한국해양대학교
강우진,DBPIA,금융보안연구원 인증서비스본부
강유,DBPIA,서울대학교 컴퓨터공학부
강윤희,DBPIA,백석대학교 정보통신학부
강은성,DBPIA,블록체인오에스
강인규,DBPIA,경북대학교 고분자공학과
강인석,SCIENCEON,경상대학교 토목공학과
강인석,KCI,경상대학교
강인석,DBPIA,
강장묵,DBPIA,
강재식,DBPIA,충남대학교 국민생활연구본부
강재원,KCI,한국과학기술원
강정식,DBPIA,동지로직스 국제물류사업부
강정원,DBPIA,서울대학교
강정인,DBPIA,서강대학교
강정헌,KCI,특허정보진흥센터
강제원,DBPIA,이화여자대학교 전자전기공학과
강준만,DBPIA,전북대학교 신문방송학과
강준수,KCI,안양대학교
강준수,DBPIA,Anyang University 관광학과
강지연,DBPIA,과학기술정책연구원
강지연,DBPIA,동아대학교 간호학과
강진숙,DBPIA,중앙대학교 미디어커뮤니케이션학부
강진아,DBPIA,경북도청
강진원,DBPIA,KISTEP
강창덕,DBPIA,중앙대학교 도시계획·부동산학과
강철,DBPIA,서울시립대학교
姜哲勝,DBPIA,중앙대
강춘길,DBPIA,자동차부품연구원
강태규,DBPIA,한국전자통신연구원 IoT연구본부
강태욱,DBPIA,한국건설기술연구원 미래융합연구본부
강태웅,DBPIA,단국대학교 건축대학 건축학과
강하영,DBPIA,한국소비자원
강현구,KCI,법무법인 광장
강현구,DBPIA,법무법인 광장
강현국,SCIENCEON,고려대학교 전자정보공학과
강현국,KCI,고려대학교
강현대,DBPIA,상명대학교 생활예술학과
강현수,NTIS,충북대학교산학협력단
강형구,DBPIA,한양대학교 경영대학
강형구,DBPIA,한양대학교 경영대학 파이낸스경영학과
강혜경,DBPIA,열린사이버대학교
강혜진,DBPIA,BDi 부산연구원
강호제,DBPIA,북한과학기술연구센터
강효석,DBPIA,MathWorks Korea Application Engineer팀
강효원,DBPIA,안동대학교 무역학과
강희건,DBPIA,
강희원,DBPIA,한국법철학회
강희조,DBPIA,목원대학교 융합컴퓨터·미디어학부
강희종,DBPIA,과학기술정책연구원 혁신시스템연구본부
강희찬,NTIS,군산대학교산학협력단
경정익,NTIS,인하대학교
계동민,DBPIA,한국교통연구원 물류연구본부
고경일,DBPIA,지농
고대식,NTIS,목원대학교 산학협력단
고대양,DBPIA,산업연구원
고동원,KCI,성균관대학교
고동원,DBPIA,성균관대학교 법학전문대학원
高美炅,DBPIA,아동문학평론사
고병열,DBPIA,한국과학기술정보연구원
고병옥,DBPIA,과학기술정책연구원
고병철,DBPIA,
고석주,SCIENCEON,경북대학교 컴퓨터학부
고선영,KCI,문화체육관광부
고성석,DBPIA,건국대학교 산업공학과
고성식,DBPIA,삼성전자 무선사업부
고승철,DBPIA,수원대학교
고영무,DBPIA,조선대학교 치과대학 치과재료학교실
고영미,KCI,숭실대학교
고영미,DBPIA,
고영미,DBPIA,한국경영법률학회
고영조,DBPIA,한국전자통신연구원
고영주,DBPIA,한국화학연구원
고영채,DBPIA,고려대학교 전기전자공학부
고영희,DBPIA,서울과학종합대학원
고용석,DBPIA,국토연구원 도로정책연구센터
고유강,KCI,대전지법ㆍ대전가법 서산지원
고유강,DBPIA,
고윤화,KCI,국립경찰대학교
고윤화,DBPIA,한국대중음악학회
고인석,KCI,호서대학교
고인석,KCI,부천대학교
고인석,DBPIA,호서대학교 법경찰행정학부
고인석,DBPIA,월간저널 Electric Power
고인환,DBPIA,연세대학교 일반대학원 정치학과
고재경,DBPIA,경기연구원 생태환경연구실
고재길,DBPIA,장로회신학대학교 기독교와문화
고재종,KCI,선문대학교
고재종,DBPIA,선문대학교 법경찰학과
고정민,DBPIA,홍익대학교 문화예술경영학
고종석,DBPIA,문학과지성사
고중훈,DBPIA,
고진수,DBPIA,광운대학교 도시계획부동산학과
고충석,DBPIA,
고형석,KCI,선문대학교
고형석,DBPIA,민사법의 이론과 실무학회
고혜영,NTIS,제주대학교
고훈,NTIS,충북대학교
공덕암,DBPIA,창원대학교
공민석,DBPIA,서강대학교 사회과학연구소
공임순,DBPIA,서강대학교 인문과학연구소
공정식,DBPIA,
공정식,DBPIA,고려대학교 건축사회환경공학과
공정욱,DBPIA,한국과학기술정보연구원
공진용,SCIENCEON,인하공업전문대학 컴퓨터시스템과
공진용,DBPIA,인하공업전문대학 컴퓨터시스템과
공호열,DBPIA,한국화학연구원
곽경섭,DBPIA,Inha Hanlim
곽기호,DBPIA,국방과학연구소 기술경영전문대학원
곽노균,DBPIA,Hanyang University 융합기계공학과
곽노윤,DBPIA,백석대학교 정보통신학부
곽수영,DBPIA,Dongguk University 글로벌무역학과
곽수환,DBPIA,한국교통대학교 경영학과
곽영빈,DBPIA,자음과모음
곽영제,DBPIA,숭실대학교
