김동식,SCIENCEON,한국외국어대학교 전자정보공학과,KCI,한국외국어대학교,,
김동욱,KCI,인천대학교,,,,
김동진,KCI,한국원자력연구원,,,,
김동한,KCI,경희대학교,,,,
김동혁,KCI,서울과학기술대학교 일반대학원,,,,
김동현,SCIENCEON,동서대학교 컴퓨터공학부,,,,
김동호,NTIS,서울과학기술대학교산학협력단,,,,
김동환,SCIENCEON,Department of Mechanical System Design Engineering; Seoul Nat'l Univ. of Science and Technology,KCI,서울과학기술대학교,,
김맹호,KCI,충남대학교,,,,
김명주0,KCI,국립국어원,,,,
김명주1,KCI,서울여자대학교,,,,
김명준,SCIENCEON,서울시립대학교 건축학부,KCI,서울시립대학교,,
김묘신,KCI,이화여자대학교,,,,
김무영,NTIS,세종대학교,,,,
김문기,KCI,한국기술교육대학교,,,,
김미순,KCI,한국외국어대학교,,,,
김미영,KCI,전남대학교,,,,
김미자,KCI,영산대학교,,,,
김민,KCI,국민대학교,,,,
김민관,SCIENCEON,한국건설기술연구원 ICT융합연구실,KCI,한국건설기술연구원,,
김민규,KCI,한국원자력연구원,,,,
김민정,KCI,한양대학교,,,,
김민하,KCI,공주대학교,,,,
김민호,KCI,제주대학교,,,,
김박사,KCI,부경대학교 지구과학연구소,,,,
김범중,KCI,University of Hawaii at Manoa,,,,
김범태,KCI,순천향대학교,,,,
김병건,KCI,건국대학교,,,,
김병만,KCI,금오공과대학교,,,,
김병민,KCI,부산대학교,,,,
김병삼,KCI,원광대학교,,,,
김병오,KCI,신경대학교,,,,
김병욱,KCI,조선대학교 디자인공학과,,,,
김병인,KCI,전남대학교,,,,
김병주,KCI,(주)디스토션,,,,
김병철,KCI,서울대학교,,,,
김병호,KCI,경성대학교,,,,
김보영,SCIENCEON,숭의여자대학교 시각디자인전공,KCI,숭의여자대학교,,
김상섭,SCIENCEON,한국기술교육대학교; 디자인.건축공학부,,,,
김상연,KCI,한국기술교육대학교,,,,
김상용,SCIENCEON,국방과학연구소,KCI,국방과학연구소,,
김상철,KCI,세명대학교,,,,
김석진,KCI,경북대학교,,,,
김석현,SCIENCEON,Department of Mechanical and Mechatronics Engineering; Kangwon National University,KCI,강원대학교,,
김선미,SCIENCEON,건국대학교 리빙디자인학과,KCI,건국대학교,,
김선아,KCI,홍콩이공대학,,,,
김선영,KCI,순천대학교,,,,
김선우,SCIENCEON,전남대학교 건축공학과,KCI,전남대학교,,
김선웅,KCI,LED팜,,,,
김선혜,KCI,서울교육대학교,,,,
김선화,KCI,경북대학교,,,,
김선희,KCI,상명대학교,,,,
김성걸,KCI,서울과학기술대학교,,,,
김성권0,SCIENCEON,서울과학기술대학교 전자IT미디어공학과,KCI,서울과학기술대학교,,
김성권1,SCIENCEON,서울과학기술대학교 NID융합기술대학원,KCI,서울과학기술대학교,,
김성남0,SCIENCEON,예원예술대학교 문화예술대학원,,,,
김성남1,KCI,서경대학교,,,,
김성배,KCI,국민대학교,,,,
김성수,KCI,동신대학교,,,,
김성아,NTIS,성균관대학교산학협력단,,,,
김성옥,KCI,충남대학교,,,,
김성욱,KCI,나랏말쏴미,,,,
김성일,NTIS,경남대학교,,,,
김성재,KCI,신라대학교,,,,
김성진,KCI,연세대학교,,,,
김성찬,KCI,한국항공우주연구원,,,,
김성칠,SCIENCEON,경기대학교 토목공학과,KCI,경기대학교,,
김성필,KCI,백석대학교,,,,
김성혜,KCI,한동대학교,,,,
김성환,KCI,서울시립대학교,,,,
김성훈,KCI,한양대학교,,,,
김세영,KCI,건국대학교,,,,
김세종,KCI,전남대학교,,,,
김세준,KCI,숙명여자대학교,,,,
김수민0,KCI,백석문화대학교,,,,
김수민1,KCI,서일대학교,,,,
김수연,KCI,전남대학교,,,,
김수진,KCI,나사렛대학교 언어치료학과,,,,
김수찬,KCI,한경대학교,,,,
김숙진,SCIENCEON,세종대학교; 패션디자인학과,KCI,세종대학교,,
김숙희,KCI,원광대학교,,,,
김승,KCI,건국대학교,,,,
김승우,KCI,전주대학교,,,,
김승윤,KCI,유네스코한국위원회 (미사용),,,,
김승현,KCI,서울대학교,,,,
김승환,KCI,부산대학교 일반대학원 디자인학과,,,,
김시범,KCI,안동대학교,,,,
김신원,KCI,경희대학교,,,,
김아람,KCI,연세대학교,,,,
김아름,KCI,한국은행,,,,
김양진,KCI,경희대학교,,,,
김양한,SCIENCEON,KAIST 기계공학과 소음 및 진동제어 연구센터 (NOVIC),KCI,한국과학기술원,,
김언진,KCI,강원대학교,,,,
김영광,KCI,청주대학교 영상문화컨텐츠학과,,,,
김영국,KCI,법조협회,,,,
김영근,KCI,한동대학교,,,,
김영록,KCI,한국행정연구원,,,,
